commissioner;category;persons;date;year;month;day;met_with;subject;link
Varhelyi_cabinet;cabinet;Justyna Petsch;12.05.2023;2023.0;5.0;12.0;Moody's Shared Services UK Ltd.;An introductory call of the entity;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=55916968748-36
Varhelyi_cabinet;cabinet;Justyna Petsch;28.04.2023;2023.0;4.0;28.0;ODI Europe;Possibility for ODI to support the work in Ukraine with the alignment of laws and absorption of funding;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=131581848799-77
Varhelyi_cabinet;cabinet;Justyna Petsch;28.04.2023;2023.0;4.0;28.0;CMI - Martti Ahtisaari Peace Foundation;Jordanian MPs to Brussels to discuss Israel/Palestine dvmnts;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=445407934362-74
Valean_cabinet;cabinet;Filip Alexandru Negreanu Arboreanu;20.04.2023;2023.0;4.0;20.0;Car Rental Coalition;Greening corporate fleets;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=350103647681-59
Valean_cabinet;cabinet;Roxana Lesovici;20.04.2023;2023.0;4.0;20.0;European Community Shipowners' Associations;Meeting on maritime energy transition;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=59004966537-01
Valean_cabinet;cabinet;Filip Alexandru Negreanu Arboreanu;18.04.2023;2023.0;4.0;18.0;European Association Automotive Suppliers;Standard Essential Patents, update from automotive suppliers;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=91408765797-03
Valean_cabinet;cabinet;Elzbieta Lukaniuk;12.04.2023;2023.0;4.0;12.0;Hamburger Hafen und Logistik Aktiengesellschaft;Meeting on transport logistics;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=129567748171-77
Valean_cabinet;cabinet;Walter Goetz;05.04.2023;2023.0;4.0;5.0;Deutsche Bahn AG;Rail;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=4516220482-22
Reynders;commissioner;;19.04.2023;2023.0;4.0;19.0;KERING;Directive on Corporate Sustainability Due Diligence (CSDD);https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=465818716727-39
Reynders;commissioner;;12.04.2023;2023.0;4.0;12.0;Responsible Business Alliance;corporate sustainability directive;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=957105437070-49
Reynders;commissioner;;11.04.2023;2023.0;4.0;11.0;Anheuser-Busch InBev nv/sa, ING Group, European Chamber of Commerce in Korea, Bayerische Motoren Werke Aktiengesellschaft;corporate sustainability directive;
Reynders;commissioner;;11.04.2023;2023.0;4.0;11.0;Anheuser-Busch InBev nv/sa, ING Group, European Chamber of Commerce in Korea, Bayerische Motoren Werke Aktiengesellschaft;corporate sustainability directive;
Reynders_cabinet;cabinet;Luc De Lobel, David Marechal;19.04.2023;2023.0;4.0;19.0;KERING;Directive on Corporate Sustainability Due Diligence (CSDD);https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=465818716727-39
Kyriakides;commissioner;;21.04.2023;2023.0;4.0;21.0;Gavi, the Vaccine Alliance;Global Health architecture & vaccine donations;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=078294941111-90
Kyriakides;commissioner;;03.04.2023;2023.0;4.0;3.0;European Liver Patients' Association;VTC meeting on noncommunicable diseases;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=89292219623-93
Kyriakides_cabinet;cabinet;Giorgios Rossides, Ines Prainsack;21.04.2023;2023.0;4.0;21.0;Gavi, the Vaccine Alliance;Global Health architecture & vaccine donations;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=078294941111-90
Kyriakides_cabinet;cabinet;Roberto Reig Rodrigo;12.04.2023;2023.0;4.0;12.0;FOMENT DEL TREBALL NACIONAL;reform of the pharmaceutical legislation;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=188439935936-53
Kyriakides_cabinet;cabinet;Ralf Kuhne;03.04.2023;2023.0;4.0;3.0;European Liver Patients' Association;VTC meeting on noncommunicable diseases;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=89292219623-93
Ferreira_cabinet;cabinet;Pedro MOIA, Simeona Manova;24.04.2023;2023.0;4.0;24.0;Energy Cities;Future of urban policies and sustainability transitions at local level.;https://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=11514322965-05
